      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 15-17RD    
                         
Sec Az  245 S 65 W  
Elev   4052 KB      
CoordsNorth  251908 East              2355590                          
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      76  104     0     0        0   4052     0     0     0     0     0        0  251908  2355590 
   52  0.20      76  104    52     0       52   4000     0     0     0     0     0        0  251908  2355590 
  128  0.50      76  104   128     1      128   3924     0     1     0     1     0        0  251908  2355591 
  318  1.00      76  104   190     2      318   3734    -1     2    -1     3    -2       -2  251907  2355593 
  470  1.00      76  104   152     3      470   3582    -1     3    -1     6    -2       -4  251907  2355596 
  500  1.09      76  104    30     1      500   3552     0     1    -2     6     0       -5  251906  2355596 
  645  1.50      76  104   145     3      645   3407    -1     3    -2     9    -3       -7  251906  2355599 
  832  2.25      76  104   187     6      832   3220    -1     6    -4    15    -5      -12  251904  2355605 
 1000  1.87      76  104   168     6     1000   3052    -1     6    -5    21    -5      -17  251903  2355611 
 1051  1.75      76  104    51     2     1051   3001     0     2    -6    23    -1      -18  251902  2355613 
 1052  1.75      76  106     1     0     1052   3000     0     0    -6    23     0      -18  251902  2355613 
 1156  2.25      66  294   105    -4     1156   2896     3     1    -2    24    -3      -21  251906  2355614 
 1411  2.25      68  292   255    10     1410   2642     4    -9     2    15     7      -14  251910  2355605 
 1500  2.03      56  304    89     3     1499   2553     2    -3     3    12     2      -12  251911  2355602 
 1609  1.75      41  319   109     4     1608   2444     2    -3     6     9     1      -11  251914  2355599 
 1797  2.00      27  333   188     6     1796   2256     5    -3    11     6     1      -10  251919  2355596 
 1970  2.25      42  318   173     6     1969   2083     5    -4    16     2     1       -8  251924  2355592 
 2000  2.44      49  311    30     1     1999   2053     1    -1    17     1     0       -8  251925  2355591 
 2050  2.75      61  299    50     2     2049   2003     1    -2    18    -1     1       -7  251926  2355589 
 2053  2.76      61  299     3     0     2052   2000     0     0    18    -1     0       -7  251926  2355589 
 2101  3.00      63  297    51     3     2100   1952     1    -2    19    -3     2       -5  251927  2355587 
 2159  5.00      80  260    58     4     2158   1894     1    -4    20    -7     3       -2  251928  2355583 
 2325 10.25      68  248   165    22     2322   1730    -6   -21    14   -28    22       20  251922  2355562 
 2418 13.00      67  247    91    19     2413   1639    -7   -17     7   -46    19       38  251915  2355544 
 2500 14.64      66  246    80    20     2493   1559    -8   -18    -1   -64    20       58  251907  2355526 
 2512 14.89      66  246    12     3     2505   1547    -1    -3    -2   -66     3       61  251906  2355524 
 2605 16.75      65  245    89    25     2594   1458   -11   -23   -13   -89    25       86  251895  2355501 
 2697 18.50      63  243    88    28     2682   1370   -12   -25   -25  -114    28      114  251883  2355476 
 2789 20.75      69  249    87    31     2768   1284   -13   -28   -38  -143    31      145  251870  2355447 
 2836 21.50      65  245    44    17     2812   1240    -7   -16   -44  -158    17      162  251864  2355432 
 2852 21.75      63  243    15     6     2827   1225    -3    -5   -47  -164     6      168  251861  2355426 
 3000 21.95      61  241   137    55     2965   1087   -26   -49   -73  -212    55      223  251835  2355378 
