      WELL DATA SUMMARY                                                                                      
            
Well  NAVY II 81-18 
                         
Sec Az  240 S 60 W  
Elev   4326 KB      
CoordsNorth  254786 East              2355069 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00       0  142                        4326     0     0     0     0     0        0  254786  2355069 
  230  1.00      38  142   230     2      230   4096    -2     1    -2     1     0        0  254784  2355070 
  326  0.87      26  154    96     2      326   4000    -1     1    -3     2     0        0  254783  2355071 
  421  0.75      14  166   191     3      421   3905    -3     1    -4     3     0        0  254782  2355072 
  452  0.75      13  167    31     0      452   3874     0     0    -5     3     0        0  254781  2355072 
  500  1.12      10  170    48     1      500   3826    -1     0    -5     3     0        0  254781  2355072 
  615  2.00       4  176   163     4      615   3711    -4     1    -8     3     1        1  254778  2355072 
  740  2.75       1  181   125     5      740   3586    -5     0   -14     3     2        4  254772  2355072 
  864  2.50       9  189   124     6      864   3462    -6     0   -19     3     3        7  254767  2355072 
 1000  2.26      12  192   136     6     1000   3326    -6    -1   -25     2     4       11  254761  2355071 
 1006  2.25      12  192   142     6     1006   3320    -6    -1   -25     2     4       11  254761  2355071 
 1111  1.50       1  181   105     3     1111   3215    -3     0   -29     1     2       13  254757  2355070 
 1179  1.50      13  193    68     2     1178   3148    -2     0   -30     1     1       14  254756  2355070 
 1240  2.50      28  208    61     2     1239   3087    -2    -1   -32     0     2       16  254754  2355069 
 1302  4.00      36  216    62     4     1301   3025    -3    -2   -35    -1     3       19  254751  2355068 
 1327  4.60      42  222    25     2     1326   3000    -1    -1   -37    -3     2       21  254749  2355066 
 1333  4.75      44  224    31     2     1332   2994    -2    -2   -37    -3     2       21  254749  2355066 
 1365  5.25      53  233    32     3     1364   2962    -2    -2   -39    -5     3       24  254747  2355064 
 1500  7.03      66  246   134    14     1498   2828    -7   -12   -46   -18    14       38  254740  2355051 
 1536  7.50      70  250   170    19     1534   2792    -9   -17   -48   -22    19       43  254738  2355047 
 1671  9.25      70  250   134    20     1668   2658    -7   -18   -55   -40    19       62  254731  2355029 
 1795 12.00      71  251   122    23     1790   2536    -8   -22   -62   -62    22       85  254724  2355007 
 1888 14.75      69  249    90    22     1880   2446    -7   -20   -70   -82    21      106  254716  2354987 
 1981 16.50      68  248    90    25     1970   2356    -9   -23   -79  -105    25      131  254707  2354964 
 2000 17.06      67  247    18     5     1988   2338    -2    -5   -81  -110     5      136  254705  2354959 
 2074 19.25      65  245    89    29     2058   2268   -11   -26   -90  -131    28      159  254696  2354938 
 2146 21.00      66  246    68    25     2126   2200   -10   -23  -101  -154    25      184  254685  2354915 
 2231 23.00      62  242    79    32     2204   2122   -14   -29  -114  -183    32      215  254672  2354886 
 2355 26.00      59  239   113    51     2317   2009   -25   -45  -140  -227    51      267  254646  2354842 
 2365 26.06      59  239     9     4     2326   2000    -2    -4  -142  -231     4      271  254644  2354838 
 2437 26.50      62  242    74    36     2391   1935   -18   -32  -158  -259    36      303  254628  2354810 
 2500 26.50      62  242    56    28     2447   1879   -13   -25  -171  -284    28      331  254615  2354785 
