      WELL DATA SUMMARY                                                                                   
            
Well  BLM 46-19     
                         
Sec Az   76         
Elev   4180 KB      
CoordsNorth  246039 East 2E+06        2352568 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM   E-LAM  
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      28  208                        4180     0     0     0     0     0     0  246039  2352568 
  180  0.21      28  208   180     0      180   4000     0     0     0     0     0     0  246039  2352568 
  218  0.25      28  208   218     0      218   3962     0     0     0     0     0     0  246039  2352568 
  370  0.50      28  208   152     1      370   3810    -1     0    -1    -1    -1    -1  246038  2352567 
  462  0.50      28  208    92     1      462   3718    -1     0    -2    -1    -1    -2  246037  2352567 
  500  0.82      28  208    38     0      500   3680     0     0    -2    -1     0    -2  246037  2352567 
  604  1.69      28  208   104     2      604   3576    -2    -1    -4    -2    -2    -3  246035  2352566 
  611  1.75      28  208     7     0      611   3569     0     0    -5    -2     0    -3  246034  2352566 
  641  1.50      20  200    30     1      641   3539    -1     0    -5    -3    -1    -4  246034  2352565 
  704  0.75      13  167    63     1      704   3476    -1     0    -7    -3     0    -4  246032  2352565 
  735  0.75      75  105    31     0      735   3445     0     0    -7    -3     0    -4  246032  2352565 
  766  1.25      80  100    31     1      766   3414     0     1    -7    -2     0    -4  246032  2352566 
  797  1.50      81   99    31     1      797   3383     0     1    -7    -1     1    -3  246032  2352567 
  842  1.74      76   90    45     1      842   3338     0     1    -7     0     1    -2  246032  2352568 
  983  2.50      62   62   141     5      983   3197     1     5    -6     5     5     3  246033  2352573 
 1000  2.58      62   62    17     1     1000   3180     0     1    -6     6     1     4  246033  2352574 
 1134  3.25      63   63   134     7     1134   3046     3     6    -2    12     7    11  246037  2352580 
 1180  3.44      68   68    46     3     1180   3000     1     2    -1    14     3    13  246038  2352582 
 1314  4.00      81   81   180    11     1313   2867     4    11     1    23    11    22  246040  2352591 
 1470  3.75      85   85   156    11     1469   2711     1    10     2    33    10    33  246041  2352601 
 1500  3.80      82   82    30     2     1499   2681     0     2     3    35     2    35  246042  2352603 
 1625  4.00      72   72   125     9     1624   2556     2     8     4    43     8    43  246043  2352611 
 1774  3.50      82   82   149    10     1772   2408     2     9     7    53    10    53  246046  2352621 
 1799  3.75      75   75    25     2     1797   2383     0     2     7    54     2    54  246046  2352622 
 1830  4.00      76   76    31     2     1828   2352     1     2     7    56     2    56  246046  2352624 
 1860  4.00      85   85    30     2     1858   2322     0     2     8    58     2    59  246047  2352626 
 1891  4.50      89   91    31     2     1889   2291     0     2     8    61     2    61  246047  2352629 
 1923  5.00      86   94    32     3     1921   2259     0     3     8    63     3    63  246047  2352631 
 1983  6.50      88   88    60     6     1981   2199     0     6     8    69     6    69  246047  2352637 
 2000  6.64      88   89    17     2     1997   2183     0     2     8    71     2    71  246047  2352639 
 2045  7.00      88   92    45     5     2042   2138     0     5     8    77     5    76  246047  2352645 
 2107  7.25      89   89    62     8     2104   2076     0     8     8    84     7    84  246047  2352652 
 2169  7.25      90   90    62     8     2165   2015     0     8     8    92     8    91  246047  2352660 
