      WELL DATA SUMMARY                                                                                   
            
Well  BLM 72-19     
                         
Sec Az  233         
Elev   4172 KB      
CoordsNorth  248913 East 2E+06        2354379 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM E-LAM    
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      50  230                        4172     0     0     0     0     0     0  248913  2354379 
  172  0.40      50  230   172     1      172   4000     0     0     0     0     1     1  248913  2354379 
  330  0.77      50  230   329     2      329   3843    -1    -2    -1    -2     2     2  248912  2354377 
  500  1.23      50  230   170     3      500   3672    -2    -2    -3    -4     3     5  248910  2354375 
  785  2.00      50  230   285     8      785   3387    -5    -6    -8   -10     8    13  248905  2354369 
  875  2.50      57  237    90     4      875   3297    -2    -3   -11   -13     4    17  248902  2354366 
  972  3.00      63  243    97     5      972   3200    -2    -4   -13   -17     5    21  248900  2354362 
 1000  3.37      62  242    28     2     1000   3172    -1    -1   -14   -18     2    23  248899  2354361 
 1066  4.25      60  240    66     4     1065   3107    -2    -4   -16   -22     4    27  248897  2354357 
 1159  4.45      58  238    93     7     1158   3014    -4    -6   -19   -28     7    34  248894  2354351 
 1173  4.53      59  239    14     1     1172   3000    -1    -1   -20   -29     1    35  248893  2354350 
 1253  5.00      63  243    94     8     1252   2920    -4    -7   -23   -35     8    42  248890  2354344 
 1346  5.75      60  240    93     9     1344   2828    -4    -8   -27   -43     9    51  248886  2354336 
 1440  6.25      60  240    93    10     1438   2734    -5    -9   -32   -51    10    60  248881  2354328 
 1500  6.41      60  240    60     7     1498   2674    -3    -6   -36   -57     7    67  248877  2354322 
 1534  6.50      60  240    34     4     1531   2641    -2    -3   -38   -60     4    71  248875  2354319 
 1627  7.25      57  237    92    11     1624   2548    -6    -9   -43   -70    11    82  248870  2354309 
 1721  7.50      61  241    93    12     1717   2455    -6   -10   -50   -80    12    94  248863  2354299 
 1815  7.75      64  244    93    12     1810   2362    -6   -11   -55   -91    12   106  248858  2354288 
 1908  8.25      59  239    92    13     1902   2270    -6   -11   -61  -102    13   119  248852  2354277 
 2000  8.01      60  240    91    13     1993   2179    -7   -11   -68  -114    13   132  248845  2354265 
 2002  8.00      60  240     2     0     1995   2177     0     0   -68  -114     0   132  248845  2354265 
 2096  8.00      58  238    93    13     2088   2084    -7   -11   -75  -125    13   145  248838  2354254 
 2180  7.77      55  235    83    12     2172   2000    -6   -10   -81  -135    12   157  248832  2354244 
 2189  7.75      55  235    92    13     2180   1992    -7   -11   -82  -136    13   158  248831  2354243 
 2283  7.25      53  233    93    12     2274   1898    -7   -10   -89  -146    12   170  248824  2354233 
 2376  7.00      56  236    92    12     2366   1806    -7    -9   -96  -155    12   182  248817  2354224 
 2470  7.25      56  236    93    12     2459   1713    -7   -10  -102  -165    12   193  248811  2354214 
 2500  7.25      55  235    30     4     2489   1683    -2    -3  -105  -168     4   197  248808  2354211 
 2564  7.25      53  233    63     8     2552   1620    -5    -7  -109  -174     8   205  248804  2354205 
 2657  7.50      54  234    92    12     2645   1527    -7   -10  -116  -184    12   217  248797  2354195 
