      WELL DATA SUMMARY                                                                                      
            
Well  BLM 74B-19    
                         
Sec Az  250 S 70 W  
Elev   4150 KB      
CoordsNorth  247402 East              2354499 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      38  322                        4150     0     0     0     0     0        0  247402  2354499 
  140  0.46      38  322   140     1      140   4010     0     0     0     0     0        0  247402  2354499 
  150  0.49      38  322    10     0      150   4000     0     0     1     0     0        0  247403  2354499 
  153  0.50      38  322   153     1      153   3997     1     0     1     0     0        0  247403  2354499 
  190  0.60      38  322    37     0      190   3960     0     0     1    -1     0        0  247403  2354498 
  336  1.00      38  322   183     2      336   3814     2    -1     2    -2     1        1  247404  2354497 
  500  0.83      38  322   164     3      500   3650     2    -2     4    -3     1        2  247406  2354496 
  573  0.75      38  322   237     4      573   3577     3    -2     5    -4     1        2  247407  2354495 
  647  0.75      53  307    74     1      647   3503     1    -1     6    -5     0        2  247408  2354494 
  709  0.50      67  293    62     1      709   3441     0    -1     6    -5     0        3  247408  2354494 
  772  0.75      14  346    63     1      772   3378     1     0     7    -6     0        3  247409  2354493 
  834  0.50       8  352    62     1      834   3316     1     0     7    -6     0        3  247409  2354493 
  896  0.00       0  360    62     0      896   3254     0     0     8    -6     0        3  247410  2354493 
  960  0.75      46  314    64     0      960   3190     0     0     8    -6     0        3  247410  2354493 
  992  1.25      46  314    32     1      992   3158     0     0     9    -7     0        3  247411  2354492 
 1000  1.38      47  313     8     0     1000   3150     0     0     9    -7     0        3  247411  2354492 
 1023  1.75      48  312    31     1     1023   3127     1    -1     9    -7     0        4  247411  2354492 
 1055  2.25      52  308    32     1     1055   3095     1    -1    10    -8     1        4  247412  2354491 
 1086  2.75      55  305    31     1     1086   3064     1    -1    11    -9     1        5  247413  2354490 
 1117  3.50      61  299    31     2     1117   3033     1    -1    11   -11     1        6  247413  2354488 
 1148  4.25      59  301    31     2     1148   3002     1    -2    13   -12     1        7  247415  2354487 
 1150  4.27      59  301     2     0     1150   3000     0     0    13   -12     0        7  247415  2354487 
 1238  5.25      52  308    90     7     1237   2913     4    -6    17   -18     4       12  247419  2354481 
 1300  5.25      52  308    62     6     1299   2851     3    -4    20   -23     3       15  247422  2354476 
 1363  5.25      48  312    63     6     1362   2788     4    -4    24   -27     3       18  247426  2354472 
 1487  5.00      46  314   124    11     1485   2665     8    -8    32   -35     5       23  247434  2354464 
 1500  4.97      46  314    13     1     1498   2652     1    -1    32   -36     0       23  247434  2354463 
 1612  4.75      49  311   125    11     1610   2540     7    -8    39   -43     5       27  247441  2354456 
 1733  4.00      45  315   121     9     1731   2419     6    -7    45   -50     4       32  247447  2354449 
 1828  4.00      46  314    95     7     1825   2325     5    -5    50   -55     3       34  247452  2354444 
 1859  4.25      45  315    31     2     1856   2294     2    -2    51   -56     1       35  247453  2354443 
 1922  4.00      50  310    63     5     1919   2231     3    -3    54   -60     2       38  247456  2354439 
 1986  4.00      45  315    64     4     1983   2167     3    -3    57   -63     2       40  247459  2354436 
