      WELL DATA SUMMARY                                                                                   
            
Well  BLM 24B-20    
                         
Sec Az   57         
Elev   4049      KB 
CoordsNorth  247505 East              2356576 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM   E-LAM 
_________________________________________________________________________________________________________ 
                                                                                                          
    0  0.00      42  222                        4049     0     0     0     0     0     0  247505  2356576 
   49  0.00      42  222    49     0       49   4000     0     0     0     0     0     0  247505  2356576 
  183  0.00      42  222   183     0      183   3866     0     0     0     0     0     0  247505  2356576 
  468  1.00      42  222   285     2      468   3581    -2    -2    -2    -2    -2    -2  247503  2356575 
  500  1.16      42  222    32     1      500   3549     0     0    -2    -2    -1    -3  247503  2356574 
  665  2.00      42  222   165     5      665   3384    -3    -3    -6    -5    -4    -7  247499  2356571 
  835  2.25      38  218   170     6      835   3214    -5    -4   -11    -9    -6   -13  247494  2356567 
  888  2.25      51  231    53     2      888   3161    -1    -1   -12   -11    -2   -15  247493  2356566 
  932  2.50      24  204    44     2      932   3117    -1    -1   -13   -12    -2   -17  247492  2356564 
  963  2.50      30  183    31     1      963   3086    -1     0   -15   -12    -1   -18  247490  2356564 
  995  2.50       1  181    32     1      995   3054    -1     0   -16   -12    -1   -19  247489  2356564 
 1000  2.54       2  179     5     0     1000   3049     0     0   -16   -12     0   -19  247489  2356564 
 1027  2.75       9  171    27     1     1027   3022    -1     0   -18   -12    -1   -20  247487  2356564 
 1049  2.83      19  161    22     1     1049   3000    -1     0   -19   -12     0   -20  247486  2356564 
 1100  3.00      43  137    73     4     1100   2949    -3     2   -21   -10     0   -20  247484  2356566 
 1124  3.00      34  146    24     1     1124   2925    -1     1   -22   -10     0   -20  247483  2356567 
 1200  3.50      46  134    76     4     1199   2850    -3     3   -25    -7     1   -19  247480  2356569 
 1231  3.75      50  130    31     2     1230   2819    -1     1   -26    -5     1   -19  247478  2356571 
 1262  4.25      59  121    31     2     1261   2788    -1     2   -28    -4     1   -18  247477  2356573 
 1293  4.00      66  114    31     2     1292   2757    -1     2   -29    -2     1   -17  247476  2356575 
 1326  4.00      79  101    33     2     1325   2724    -1     2   -29     1     1   -16  247475  2356577 
 1358  4.00      87   93    32     2     1357   2692     0     2   -30     3     2   -14  247475  2356579 
 1390  4.00      85   85    32     2     1389   2660     0     2   -30     5     2   -12  247475  2356581 
 1422  4.00      73   73    32     2     1421   2628     0     2   -29     7     2   -10  247476  2356583 
 1497  3.75      50   50    75     5     1496   2553     2     4   -27    12     5    -5  247478  2356588 
 1500  3.73      50   50     3     0     1499   2550     0     0   -27    12     0    -5  247478  2356588 
 1538  3.50      50   50    38     2     1537   2512     2     2   -25    14     2    -2  247480  2356590 
 1581  3.50      41   41    43     3     1580   2469     2     2   -23    16     3     0  247482  2356592 
 1656  3.50      42   42    75     5     1654   2395     3     3   -20    19     4     5  247485  2356595 
 1706  3.50      44   44    50     3     1704   2345     2     2   -18    21     3     8  247487  2356597 
 1765  4.50      47   47    59     4     1763   2286     3     3   -15    24     4    12  247490  2356600 
 1829  5.00      46   46    64     5     1827   2222     4     4   -11    27     5    17  247494  2356604 
