      WELL DATA SUMMARY                                                                                   
            
Well  BLM 34-20     
                         
Sec Az  143         
Elev   4034 KB      
CoordsNorth  247689 East              2357069 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec   N-LAM   E-LAM  
__________________________________________________________________________________________________________
                                                                                                          
    0  0.00      89  269                        4034     0     0     0     0     0     0  247689  2357069 
   34  0.19      89  269    34     0       34   4000     0     0     0     0     0     0  247689  2357069 
  226  1.25      89  269   226     2      226   3808     0    -2     0    -2    -1    -1  247689  2357067 
  452  1.50      89  269   226     5      452   3582     0    -5     0    -8    -3    -5  247689  2357061 
  500  1.59      89  269    48     1      500   3534     0    -1     0    -9    -1    -5  247689  2357060 
  593  1.75      89  269    93     3      593   3441     0    -3     0   -12    -2    -7  247689  2357057 
  738  2.00      90  270   145     5      738   3296     0    -5     0   -17    -3   -10  247689  2357052 
  848  2.00      84  264   110     4      848   3186     0    -4     0   -20    -2   -12  247689  2357049 
  978  3.00      62  242   130     6      978   3056    -2    -5    -2   -26    -2   -14  247687  2357043 
 1000  2.94      66  252    22     1     1000   3034     0    -1    -3   -27     0   -14  247686  2357042 
 1034  2.84      73  267    34     2     1034   3000     0    -2    -3   -29    -1   -15  247686  2357040 
 1049  2.80      76  273    49     2     1049   2985     0    -2    -3   -29    -1   -15  247686  2357040 
 1066  2.75      79  281    66     3     1065   2969     0    -3    -3   -30    -2   -16  247686  2357039 
 1165  2.50      66  294    99     5     1164   2870     1    -4    -1   -35    -4   -20  247688  2357034 
 1223  2.00      80  280    58     2     1222   2812     1    -2    -1   -37    -2   -22  247688  2357032 
 1254  1.50      90  270    31     1     1253   2781     0    -1    -1   -38    -1   -22  247688  2357031 
 1286  1.00      90  270    32     1     1285   2749     0    -1    -1   -38     0   -23  247688  2357031 
 1317  0.75      52  232    31     0     1316   2718     0     0    -1   -39     0   -23  247688  2357030 
 1349  0.50      29  209    32     0     1348   2686     0     0    -1   -39     0   -23  247688  2357030 
 1380  0.50      90  180    31     0     1379   2655     0     0    -1   -39     0   -22  247688  2357030 
 1411  0.75      34  146    31     0     1410   2624     0     0    -2   -39     0   -22  247687  2357030 
 1442  1.25      46  226    31     1     1441   2593    -1     0    -2   -39     0   -22  247687  2357030 
 1470  1.75      50  230    28     1     1469   2565     0    -1    -3   -40     0   -22  247686  2357029 
 1500  2.25      48  192    30     1     1499   2535    -1    -1    -4   -40     0   -21  247685  2357029 
 1545  3.00      46  134    45     2     1544   2490    -2     1    -6   -40     2   -19  247683  2357029 
 1607  3.50      38  142    62     4     1606   2428    -3     2    -8   -37     4   -16  247681  2357032 
 1669  2.75      28  152    62     3     1668   2366    -3     2   -11   -35     3   -12  247678  2357034 
 1730  2.75      34  146    61     3     1729   2305    -3     2   -14   -34     3   -10  247675  2357035 
 1793  2.75      22  158    63     3     1792   2242    -3     1   -16   -32     3    -7  247673  2357037 
 1885  2.50      31  149    92     4     1884   2150    -4     2   -20   -31     4    -2  247669  2357038 
 1978  2.00      21  159    93     4     1977   2057    -3     2   -23   -29     4     1  247666  2357040 
