      WELL DATA SUMMARY                                                                                      
            
Well  BLM 47-20     
                         
Sec Az107.8 S 72.17 E    
Elev   4101 KB      
CoordsNorth  245522 East              2357635 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      69   69                        4101     0     0     0     0     0        0  245522  2357635 
  101  0.18      69   69   101     0      101   4000     0     0     0     0     0        0  245522  2357635 
  142  0.25      69   69   142     0      142   3959     0     0     0     0     0        0  245522  2357635 
  265  0.50      20  340   123    -1      265   3836     1     0     1     1     0        0  245523  2357636 
  387  0.50      64   64   122    -1      387   3714     1     0     2     1     0        0  245524  2357636 
  476  0.50      84   96    89     1      476   3625     0     1     2     2     1        1  245524  2357637 
  500  0.54      76   86    24     0      500   3601     0     0     2     2     0        1  245524  2357637 
  625  0.75      33   33   149     2      625   3476     1     1     3     3     1        2  245525  2357638 
  809  0.75      70   70   184     2      809   3292     1     2     4     5     1        4  245526  2357640 
  963  0.75      14   14   154     2      963   3138     1     1     6     6     1        4  245528  2357641 
 1000  0.69      15   92    37     0     1000   3101     0     0     6     7     0        5  245528  2357642 
 1101  0.53      19  304   101     1     1101   3000    -1     0     5     7     0        5  245527  2357642 
 1118  0.50      20  340   155    -2     1118   2983     2     0     7     6    -1        4  245529  2357641 
 1280  1.75      10  350   162     3     1280   2821     3    -1    10     6    -2        2  245532  2357641 
 1373  1.25       4    4    93    -2     1373   2728     2     0    13     5    -1        1  245535  2357640 
 1460  1.75       9  351    87    -2     1460   2641     2     0    15     5    -1        0  245537  2357640 
 1500  1.83      12  348    40     1     1500   2601     1     0    16     5    -1        0  245538  2357640 
 1585  2.00      18  342   125     4     1585   2516     4    -1    19     4    -2       -2  245541  2357639 
 1649  1.75      30  330    64     2     1649   2452     2    -1    21     4    -1       -3  245543  2357639 
 1779  2.00       9  351   130     4     1779   2322     4    -1    25     2    -3       -6  245547  2357637 
 1874  1.50       5  355    95     3     1874   2227     3     0    28     2    -1       -7  245550  2357637 
 1995  1.50       9    9   121    -3     1995   2106     3     0    31     2    -1       -8  245553  2357637 
 2000  1.50       9    9     5     0     2000   2101     0     0    31     2     0       -8  245553  2357637 
 2101  1.50       4    4   101     3     2101   2000     3     0    34     2    -1       -8  245556  2357637 
 2124  1.50       3    3   129     3     2124   1977     3     0    34     2    -1       -8  245556  2357637 
 2251  1.25      16  344   127    -3     2251   1850     3     0    37     2    -1      -10  245559  2357637 
 2338  1.00       1  359    87     2     2337   1764     2     0    39     2    -1      -10  245561  2357637 
 2500  0.81      54  306   162     3     2499   1602     2    -1    41     0    -2      -12  245563  2357635 
 2550  0.75      70  290   212     3     2549   1552     3    -2    42     0    -3      -13  245564  2357635 
 2581  0.50      20  340    31     0     2580   1521     0     0    42     0     0      -13  245564  2357635 
 2612  0.25      29   29    31     0     2611   1490     0     0    42     0     0      -13  245564  2357635 
 2643  0.75      74  106    31     0     2642   1459     0     0    42     0     0      -13  245564  2357635 
 2800  3.75      68  112   157     6     2799   1302    -2     6    40     6     6       -7  245562  2357641 
