  																																									Prints 2 pages
		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!										#DIV/0!		#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!							P	/rva59..aj59~a59..aj59~
		WELL DATA SUMMARY																																							/ma59..aj200~a63~
		 																																							/ca11..aj12~a60~
	Well	LADWP Coso 66-6																																							/ppr~gp{esc}{esc}{esc}
	 	 	 	 																																					
	Sec Azim	246	 																																						
	Elev	4339	KB																												Pruett 7/16/85										
 	Coords:	North	262090	East			2353516																																		
 					Course		 																																		
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM	DEG F	PSIG	L CIR	I#in	I#out	IDeg F	S#in	S#out	SDeg F	ELEV	ELEV	TVD	MD	N-S	E-W	SEC	FACT	DEG F	PSIG	 					
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________	________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________						
 																																									
 	0	0	60	300				4339	0	0	0	0	0	0	262090	2353516										4339	 										0				
 	226	1	60	300	226	1	226	4113	0	-1	0	-1	1	1	262090	2353515										4113.002151	 										0				
	339	1	44	316	113	1	339	4000	1	-1	1	-2	1	1	262091	2353514																									
	457	1	28	332	231	4	457	3882	3	-2	3	-3	1	2	262093	2353513										3882.029088	4000	339	339.01533	1.73453469	-2.052878506	1.183815185	0.489243853	209			-4000
	500	1	41	319	43	1	500	3839	1	-1	4	-4	0	2	262094	2353512										3839.039742											0
	668	2	90	270	168	4	668	3671	2	-4	6	-8	3	5	262096	2353508										3671.089926	 										0
	948	2	86	266	280	9	948	3391	0	-9	5	-17	9	13	262095	2353499										3391.239841	3500	839	839.1815786	5.340291302	-13.17244833	9.920331239	0.611362781	209			-3500
	1000	2	86	266	52	2	1000	3339	0	-2	5	-19	2	15	262095	2353497										3339.27898											0
LC	1135	2	85	265	135	5	1135	3204	0	-5	5	-24	5	20	262095	2353492			-999	 						3204.371954											0
	1190	2	85	265	55	2	1190	3149	0	-2	5	-26	2	22	262095	2353490										3149.406417	 										0
	1253	4	80	260	63	3	1253	3086	0	-3	4	-29	3	25	262094	2353487										3086.492756	 										0
	1316	6	53	233	63	5	1315	3024	-2	-5	2	-34	5	30	262092	2353482										3023.72066	 										0
	1340	7	52	232	24	3	1339	3000	-2	-2	0	-36	3	33	262090	2353480																					
	1378	9	51	231	62	8	1377	2962	-5	-6	-3	-40	7	38	262087	2353476										2962.19943	3000	1339	1339.905259	0.122532961	-36.19165072	33.09775999	0.385568692	340			-3000
	1500	13	50	230	120	22	1497	2842	-14	-17	-17	-57	22	59	262073	2353459										2842.27654											0
	1546	14	50	230	45	11	1541	2798	-7	-8	-24	-65	10	70	262066	2353451										2797.540561	 										0
	1639	17	52	232	90	25	1631	2708	-16	-19	-39	-85	24	93	262051	2353431										2707.868921	 										0
	1729	18	52	232	86	27	1717	2622	-16	-21	-56	-106	26	119	262034	2353410										2621.859105	 										0
	1850	18	52	232	115	37	1832	2507	-23	-29	-78	-134	35	154	262012	2353382										2506.539009	 										0
 	1973	18	52	232	117	37	1950	2389	-23	-29	-101	-164	36	191	261989	2353352										2389.312796	2500	1839	1856.861077	-79.53637699	-136.0197488	156.5081381	0.055781115	396			-2500
	2000	18	53	233	26	8	1975	2364	-5	-7	-106	-170	8	199	261984	2353346										2363.593089											0
"10#, 10F"	2090	17	56	236	86	27	2061	2278	-16	-22	-122	-192	27	225	261968	2353324				30	 	27	10	 	10	2277.788597											0
 	2166	17	58	238	73	23	2134	2205	-12	-19	-134	-211	22	247	261956	2353305										2205.245912	 										0
"110#, 28F"	2319	17	59	239	146	46	2280	2059	-24	-39	-158	-250	45	293	261932	2353266				140		29	110		28	2059.200162											0
 	2376	18	59	239	54	17	2334	2005	-9	-15	-167	-265	17	310	261923	2353251										2004.828155	 										0
	2381	18	59	239	5	2	2339	2000	-1	-1	-168	-266	1	311	261922	2353250																					
	2500	18	60	240	118	37	2452	1887	-19	-32	-186	-297	37	347	261904	2353219										1886.567253	2000	2339	2381.062461	-168.012062	-266.025937	311.0974674	0.040826301	414			-2000
	2537	18	60	240	35	11	2488	1851	-6	-10	-192	-306	11	358	261898	2353210										1851.279726											0
	2779	18	58	238	231	73	2719	1620	-37	-62	-229	-369	72	430	261861	2353147										1620.480224	 										0
	2984	18	60	240	195	62	2914	1425	-32	-54	-261	-422	62	492	261829	2353094										1425.239085	1500	2839	2905.502263	-249.1511179	-401.864426	468.0830194	0.61708421	407			-1500
	3000	18	60	240	15	5	2929	1410	-2	-4	-264	-427	5	497	261826	2353089										1410.016682											0
	3078	17	58	238	74	24	3003	1336	-12	-20	-276	-447	23	520	261814	2353069										1335.651844	 										0
	3139	17	57	237	58	18	3062	1277	-10	-15	-286	-462	18	538	261804	2353054										1277.356301	 										0
"15#, 2F"	3218	16	53	233	76	23	3137	1202	-13	-18	-299	-480	22	560	261791	2353036				19		4	15		2	1201.647612											0
	3237	16	52	232	18	5	3156	1183	-3	-4	-302	-485	5	565	261788	2353031										1183.392527	 										0
	3366	15	53	233	124	34	3280	1059	-21	-27	-323	-512	33	599	261767	2353004										1059.084198	 										0
	3427	15	56	236	59	16	3339	1000	-9	-13	-332	-525	15	614	261758	2352991																					
"2#, .5F"	3436	15	56	236	68	18	3348	991	-10	-15	-333	-527	18	616	261757	2352989				16		1	2		0.5	991.4693906	1000	3339	3427.168463	-332.0953432	-524.8390785	614.0116499	0.87383519	412			-1000
	3500	15	59	239	62	17	3409	930	-9	-14	-342	-541	16	633	261748	2352975										929.6501377											0
	3518	15	60	240	17	5	3427	912	-2	-4	-345	-545	5	637	261745	2352971										912.2634729	 										0
	3643	14	57	237	121	31	3548	791	-16	-27	-361	-571	31	668	261729	2352945										791.2450178	 										0
	3767	14	60	240	120	30	3668	671	-16	-26	-377	-597	30	698	261713	2352919										670.9283477	 										0
	3899	14	60	240	128	31	3796	543	-16	-27	-392	-624	31	729	261698	2352892										542.7111945	 										0
	3994	12	60	240	93	21	3889	450	-10	-18	-403	-642	21	750	261687	2352874										450.0081534	500	3839	3942.769475	-397.1270076	-632.4404299	738.6689652	0.46073132	417			-500
	4000	12	60	240	6	1	3895	444	-1	-1	-403	-643	1	751	261687	2352873										444.133564											0
	4095	11	59	239	93	19	3988	351	-10	-16	-413	-659	19	770	261677	2352857										351.0358108	 										0
	4209	10	60	240	112	21	4100	239	-11	-18	-423	-677	21	790	261667	2352839										238.9447514	 										0
	4355	9	66	246	144	23	4244	95	-11	-21	-434	-698	23	814	261656	2352818										94.79242468	 										0
	4451	8	71	251	95	14	4339	0	-5	-13	-439	-711	14	827	261651	2352805																					
	4500	8	73	253	144	21	4388	-49	-7	-19	-441	-717	21	834	261649	2352799										-48.73686149	0	4339	4450.823461	-439.4812388	-710.9907601	827.6149665	-0.673651219	421			0
	4573	8	77	257	72	10	4460	-121	-2	-9	-444	-727	10	844	261646	2352789										-121.0841832											0
	4714	7	76	256	140	18	4600	-261	-4	-18	-448	-744	18	862	261642	2352772										-260.9177277	 										0
	5000	8	78	258	284	37	4883	-544	-8	-36	-456	-780	37	898	261634	2352736										-544.4975569											0
