      WELL DATA SUMMARY                                                                                                                                                                                                      
            
Well  Navy I  68-6  
                         
Sec Az  300 N60W    
Elev   4193 KB      
CoordsNorth  259983 EAST              2353527 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec   Sec    N-LAM E-LAM    
___________________________________________________________________________________________________________
                                                                                                                                                                                                                             
    0  0.00      34  215     0     0        0   4193     0     0     0     0     0      0  259983  2353527                                                                                                                   
  193  0.74      34  214   193     1      193   4000    -1    -1    -1    -1     0      0  259982  2353526 
  196  0.75      34  214   196     1      196   3997    -1    -1    -1    -1     0      0  259982  2353526                                                                                                                   
  406  1.50      81  279   210     4      406   3787    -2    -4    -3    -5     2      3  259980  2353522                                                                                                                   
  620  2.25      78  258   214     7      620   3573     0    -7    -3   -12     6      9  259980  2353515       
  780  1.25      66  294   160     5      780   3413     1    -5    -2   -16     4     13  259981  2353511       
  962  1.25      56  304   182     4      962   3231     2    -3     0   -20     4     17  259983  2353507       
 1127  1.75      71  289   165     4     1127   3066     2    -4     1   -24     4     21  259984  2353503       
 1193  2.09      63  297    66     2     1193   3000     1    -2     2   -26     2     23  259985  2353501 
 1271  2.50      54  306   144     5     1271   2922     2    -5     4   -28     5     27  259987  2353499       
 1431  2.50      72  288   160     7     1430   2763     3    -6     7   -35     7     34  259990  2353492       
 1515  2.50      69  291    84     4     1514   2679     1    -3     8   -38     4     37  259991  2353489 
 1603  2.50      66  294   172     8     1602   2591     3    -7    10   -42     7     41  259993  2353485       
 1767  2.25      71  289   164     7     1766   2427     2    -6    12   -48     7     48  259995  2353479       
 1792  2.25      72  288    25     1     1791   2402     0    -1    13   -49     1     49  259996  2353478 
 1871  2.25      76  284   104     4     1870   2323     1    -4    13   -52     4     52  259996  2353475       
 1960  2.11      78  270    89     3     1959   2234     0    -3    14   -55     3     55  259997  2353472 
 1997  2.05      78  264    37     1     1996   2197     0    -1    14   -57     1     56  259997  2353470 
 2029  2.00      79  259   158     6     2028   2165     0    -6    14   -58     5     57  259997  2353469       
 2185  1.75      68  292   156     5     2184   2009     0    -5    14   -63     5     61  259997  2353464       
 2194  1.77      66  294     9     0     2193   2000     0     0    14   -63     0     62  259997  2353464 
 2276  2.00      48  312    91     3     2275   1918     2    -3    16   -65     3     64  259999  2353462       
 2332  2.75      46  314    56     2     2331   1862     2    -2    17   -67     2     67  260000  2353460       
 2363  3.25      44  316    31     2     2362   1831     1    -1    18   -68     2     68  260001  2353459       
 2395  3.75      44  316    32     2     2394   1799     1    -1    20   -70     2     70  260003  2353457       
 2425  4.00      46  314    30     2     2424   1769     1    -1    21   -71     2     72  260004  2353456       
 2455  4.25      41  319    30     2     2453   1740     2    -1    23   -72     2     74  260006  2353455       
 2486  4.75      41  319    31     2     2484   1709     2    -2    25   -74     2     76  260008  2353453       
 2517  5.25      43  317    31     3     2515   1678     2    -2    27   -76     3     79  260010  2353451       
 2547  5.75      36  324    30     3     2545   1648     2    -2    29   -78     3     82  260012  2353449       
 2642  5.50      42  318    95     9     2640   1553     7    -6    36   -84     9     90  260019  2353443       
 2672  6.00      47  313    30     3     2670   1523     2    -2    38   -86     3     93  260021  2353441       
