      WELL DATA SUMMARY                                                                                                                                                                                                        
            
Well  NAVY I 78A-6  
                         
Sec Az  105 S 75 E  
Elev   4181 KB      
CoordsNorth  260424 East              2354044 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                                                                                                                                               
    0  0.00      27  153                        4181     0     0     0     0     0        0  260424  2354044                                                                                                                   
  186  0.50      27  153   186     1      186   3995    -1     0    -1     0     1        1  260423  2354044                                                                                                                   
  305  0.75      14  346   119    -1      305   3876     0     1     0     2     1        2  260424  2354046                                                                                                                   
  430  1.00      34  326   125     2      430   3751     2    -1     1     1    -1        0  260425  2354045                                                                                                                   
  500  1.00      25  136    70     1      500   3681    -1    -1     1     0    -1        0  260425  2354044                                                                                                       
  543  1.00      19   19   113    -2      543   3638     2     0     3     1    -1        0  260427  2354045                                                                                                                   
  577  1.00      25   25    34     1      577   3604     1     0     4     1     0        0  260428  2354045                                                                                                                   
  609  1.25      45   45    32     1      609   3572     1     0     4     1     0        0  260428  2354045                                                                                                                   
  640  1.75      70   70    31     1      640   3541     0     1     5     2     1        0  260429  2354046                                                                                                                   
  671  2.00      85   85    31     1      671   3510     0     1     5     3     1        1  260429  2354047                                                                                                                   
  702  3.00      90   90    31     1      702   3479     0     1     5     4     1        3  260429  2354048                                                                                                                   
  732  3.25      78  102    30     2      732   3449     0     2     5     6     2        4  260429  2354050                                                                                                                   
  764  4.00      70  110    32     2      764   3417    -1     2     4     8     2        6  260428  2354052                                                                                                                   
  795  4.50      67  113    31     2      795   3386    -1     2     4    10     2        9  260428  2354054                                                                                                                   
  827  5.25      67  113    32     3      827   3354    -1     3     3    12     3       11  260427  2354056                                                                                                                   
  858  6.00      72  108    31     3      857   3324    -1     3     2    15     3       14  260426  2354059                                                                                                                   
  889  6.75      77  103    31     3      888   3293    -1     3     1    19     3       18  260425  2354063                                                                                                                   
  921  7.75      81   99    32     4      920   3261    -1     4     0    22     4       22  260424  2354066                                                                                                                   
  957  8.75      79  101    36     5      956   3225    -1     5    -1    28     5       27  260423  2354072                                                                                                                   
  970  9.27      78  102    13     2      968   3213     0     2    -1    30     2       29  260423  2354074                                                                                                                   
  982  9.75      77  103    25     4      980   3201    -1     4    -2    32     4       31  260422  2354076                                                                                                                   
 1000 10.33      78  102    18     3      998   3183    -1     3    -3    35     3       34  260421  2354079                                                                                                       
 1044 11.75      81   99    61    12     1041   3140    -2    11    -4    43    12       42  260420  2354087                                                                                                                   
 1057 11.98      82   98    13     3     1054   3127     0     3    -5    46     3       45  260419  2354090                                                                                                                   
 1072 12.25      83   97    27     6     1069   3112    -1     6    -5    49     6       48  260419  2354093                                                                                                                   
 1106 13.00      85   95    33     7     1102   3079    -1     7    -6    56     7       56  260418  2354100                                                                                                                   
 1137 14.00      86   94    30     7     1132   3049    -1     7    -6    63     7       63  260418  2354107                                                                                                                   
 1188 14.70      82   98    49    13     1181   3000    -1    13    -8    76    12       75  260416  2354120                                                                                                       
 1247 15.50      77  103   106    28     1238   2943    -4    28   -10    91    28       91  260414  2354135                                                                                                                   
