	Well 43-7															
	Elev  4187 KB			Coords:	North  258211		EAST  2352266									
 																
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 				 												
 	0	0.0	0.0	0.0	0.0	0.0	0.0	4187.0	0.0	0.0	0.0	0.0	0.0	0.0	258211	2352266
	187	0.0	0.0	0.0	187.0	0.0	187.0	4000.0	0.0	0.0	0.0	0.0	0.0	0.0	258211	2352266
 	235	0.0	0.0	0.0	235.0	0.0	235.0	3952.0	0.0	0.0	0.0	0.0	0.0	0.0	258211	2352266
 	421	0.3	95.0	95.0	186.0	0.4	421.0	3766.0	0.3	0.3	0.3	0.3	0.3	0.3	258211.2741	2352266.299
 	619	0.0	0.0	0.0	198.0	0.4	619.0	3568.0	0.3	0.3	0.6	0.6	0.3	0.6	258211.566	2352266.618
 	800	0.3	105.0	105.0	181.0	0.4	800.0	3387.0	0.2	0.3	0.8	0.9	0.2	0.8	258211.8064	2352266.931
 	940	0.8	35.0	35.0	140.0	1.2	940.0	3247.0	0.4	1.1	1.2	2.1	0.4	1.2	258212.2242	2352268.079
 	1035	0.8	45.0	45.0	95.0	1.2	1035.0	3152.0	1.0	0.8	2.2	2.9	1.0	2.2	258213.1768	2352268.878
	1187	0.5	6.5	6.5	152.0	1.7	1187.0	3000.0	1.5	0.7	3.7	3.6	1.5	3.7	258214.6814	2352269.604
 	1193	0.5	5.0	5.0	158.0	1.7	1193.0	2994.0	1.6	0.7	3.7	3.6	1.6	3.7	258214.7388	2352269.607
 	1351	0.5	80.0	80.0	158.0	1.4	1351.0	2836.0	1.0	0.9	4.8	4.5	1.0	4.8	258215.7554	2352270.538
 	1509	0.5	122.0	122.0	158.0	1.4	1509.0	2678.0	-0.3	1.4	4.5	5.9	-0.3	4.5	258215.4923	2352271.892
