      WELL DATA SUMMARY                                                                                      
            
Well  NAVY I 61A-7  
                         
Sec Az   49         
Elev   4143 KB      
CoordsNorth  259443 East              2354061 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM E-LAM    
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      39  219                        4143     0     0     0     0     0        0  259443  2354061 
  143  0.45      39  219   143     1      143   4000     0     0     0     0    -1       -1  259443  2354061 
  160  0.50      39  219   160     1      160   3983    -1     0    -1     0    -1       -1  259442  2354061 
  270  0.50      39  219   110     1      270   3873    -1    -1    -1    -1    -1       -2  259442  2354060 
  469  0.50      39  219   199     2      469   3674    -1    -1    -3    -2    -2       -3  259440  2354059 
  500  0.66      39  219    31     0      500   3643     0     0    -3    -2     0       -4  259440  2354059 
  569  1.00      39  219    69     1      569   3574    -1    -1    -4    -3    -1       -5  259439  2354058 
  619  1.25      50  230    50     1      619   3524    -1    -1    -4    -4    -1       -6  259439  2354057 
  650  1.00      78  258    31     1      650   3493     0    -1    -5    -4    -1       -6  259438  2354057 
  682  1.00      79  259    32     1      682   3461     0    -1    -5    -5     0       -7  259438  2354056 
  713  1.25      64  296    31     1      713   3430     0    -1    -5    -5     0       -7  259438  2354056 
  744  1.25      47  313    31     1      744   3399     0    -1    -4    -6     0       -7  259439  2354055 
  775  1.00      16  344    31     1      775   3368     1     0    -4    -6     0       -7  259439  2354055 
  807  2.25       4  356    32     1      807   3336     1     0    -3    -6     0       -7  259440  2354055 
  838  3.00      18   18    31    -1      838   3305     1     0    -1    -6     1       -6  259442  2354055 
  868  3.75      26   26    30     2      868   3275     2     1     0    -6     2       -4  259443  2354055 
  899  5.00      30   30    31     2      899   3244     2     1     2    -4     2       -2  259445  2354057 
  931  6.00      33   33    32     3      931   3212     3     2     5    -3     3        1  259448  2354058 
  961  6.75      41   41    30     3      960   3183     3     2     8    -1     3        4  259451  2354060 
  992  7.00      45   45    31     4      991   3152     3     3    10     2     4        8  259453  2354063 
 1000  7.07      46   46     8     1      999   3144     1     1    11     2     1        9  259454  2354063 
 1022  7.25      49   49    22     3     1021   3122     2     2    13     4     3       12  259456  2354065 
 1053  7.50      56   56    31     4     1052   3091     2     3    15     8     4       16  259458  2354069 
 1085  7.25      56   56    32     4     1083   3060     2     3    18    11     4       20  259461  2354072 
 1115  7.50      52   52    30     4     1113   3030     2     3    20    14     4       24  259463  2354075 
 1145  8.16      51   51    30     4     1143   3000     3     3    22    17     4       28  259465  2354078 
 1183  9.00      49   49    67    10     1180   2963     6     8    26    22    10       33  259469  2354083 
 1240 12.00      52   52    56    10     1237   2906     7     8    33    30    10       44  259476  2354091 
 1271 13.00      54   54    30     7     1267   2876     4     5    37    35     7       50  259480  2354096 
 1302 14.00      54   54    30     7     1297   2846     4     6    41    41     7       58  259484  2354102 
 1334 14.75      53   53    31     8     1328   2815     5     6    46    47     8       66  259489  2354108 
 1383 16.00      57   57    47    13     1375   2768     7    11    53    58    13       79  259496  2354119 
 1445 17.50      53   53    59    18     1435   2708    10    15    63    73    18       96  259506  2354134 
