      WELL DATA SUMMARY                                                                                      
            
Well  Navy I 41A-8  
                         
Sec Az  146         
Elev   3990 KB      
CoordsNorth  259513 East              2357663 
                         Course               
  MD  Drift Drift D. AzimLength  DH     TVD     SSD    DNS   DEW   N-S   E-W  DSec    Sec     N-LAM   E-LAM  
_____________________________________________________________________________________________________________
                                                                                                             
    0  0.00      75  255                        3990     0     0     0     0     0        0  259513  2357663 
  500  1.94      75  255   500     8      500   3490    -2    -8    -2    -8    -3       -3  259511  2357655 
  515  2.00      75  255    15     1      515   3475     0     0    -2    -9     0       -3  259511  2357654 
  592  2.00      89  269    77     3      592   3398     0    -3    -3   -11    -1       -4  259510  2357652 
  639  1.75      60  240    47     2      639   3351     0    -1    -3   -13     0       -5  259510  2357650 
  673  2.00      46  226    34     1      673   3317    -1    -1    -4   -14     0       -5  259509  2357649 
  744  2.25      15  195    71     3      744   3246    -2    -1    -6   -15     1       -3  259507  2357648 
  775  2.25       5  185    31     1      775   3215    -1     0    -7   -15     1       -3  259506  2357648 
  836  2.75      24  156    61     3      836   3154    -3     0   -10   -15     2        0  259503  2357648 
  896  3.50      36  144    60     3      896   3094    -3     2   -13   -13     3        3  259500  2357650 
  928  4.00      43  137    32     2      928   3062    -2     1   -14   -12     2        5  259499  2357651 
  959  4.75      48  132    31     2      958   3032    -2     2   -16   -10     2        8  259497  2357653 
  990  5.75      51  129    31     3      989   3001    -2     2   -18    -8     3       10  259495  2357655 
  991  5.77      51  129     1     0      990   3000     0     0   -18    -8     0       10  259495  2357655 
 1000  5.99      51  129    10     1      999   2991    -1     1   -18    -7     1       11  259495  2357656 
 1021  6.50      52  128    21     2     1020   2970    -1     2   -20    -5     2       13  259493  2357658 
 1052  7.00      51  129    31     4     1051   2939    -2     3   -22    -3     3       17  259491  2357660 
 1148  9.50      45  135    95    14     1146   2844    -9    10   -31     8    13       30  259482  2357671 
 1211 11.00      46  134    62    11     1208   2782    -8     8   -39    16    11       41  259474  2357679 
 1305 11.25      41  139    92    18     1300   2690   -13    12   -52    28    18       59  259461  2357691 
 1398 12.50      41  139    91    19     1391   2599   -14    13   -67    41    19       78  259446  2357704 
 1418 12.61      41  139    20     4     1411   2579    -3     3   -70    44     4       82  259443  2357707 
 1493 13.00      42  138    73    17     1484   2506   -12    11   -83    55    16       99  259430  2357718 
 1500 13.02      42  138     7     2     1491   2499    -1     1   -84    56     2      101  259429  2357719 
 1588 13.25      37  143    86    20     1576   2414   -15    13   -99    68    20      120  259414  2357731 
 1647 13.75      36  144    57    14     1634   2356   -11     8  -110    77    14      134  259403  2357740 
 1678 13.75      39  141    30     7     1664   2326    -6     4  -116    81     7      142  259397  2357744 
 1679 13.75      39  141     1     0     1665   2325     0     0  -116    81     0      142  259397  2357744 
 1773 12.25      46  134    92    21     1756   2234   -16    14  -132    95    21      163  259381  2357758 
 1837 12.75      50  130    62    14     1819   2171    -9    10  -141   106    13      176  259372  2357769 
 1906 13.25      49  131    67    16     1886   2104   -10    12  -151   118    15      191  259362  2357781 
 1969 12.75      52  128    61    14     1947   2043    -9    11  -160   128    14      205  259353  2357791 
