Point,Longitude,Latitude,TVD_m,Depth_msl
1,-117.77626009,36.03041631,0.0,1175.6
2,-117.77626339,36.03042184,61.9,1113.7
3,-117.77626664,36.03043011,100.0,1075.6
4,-117.77626317,36.03043557,149.4,1026.3
5,-117.77625294,36.03044096,195.1,980.5
6,-117.77624267,36.03044909,243.8,931.8
7,-117.77623590,36.03044902,261.2,914.4
8,-117.77622576,36.03044892,292.3,883.3
9,-117.77621895,36.03045160,315.5,860.1
10,-117.77621557,36.03045156,326.7,848.9
11,-117.77620209,36.03044867,374.9,800.7
12,-117.77620209,36.03044867,383.4,792.2
13,-117.77619871,36.03044864,412.4,763.2
14,-117.77619528,36.03045135,431.9,743.7
15,-117.77618852,36.03045128,470.0,705.6
16,-117.77618861,36.03044579,508.7,666.9
17,-117.77618861,36.03044579,548.0,627.6
18,-117.77618522,36.03044575,566.0,609.6
19,-117.77618869,36.03044029,586.4,589.2
20,-117.77618861,36.03044579,625.4,550.2
21,-117.77618518,36.03044850,662.0,513.6
22,-117.77618180,36.03044846,663.9,511.8
23,-117.77617508,36.03044565,712.6,463.0
24,-117.77617850,36.03044294,758.0,417.6
25,-117.77618184,36.03044572,789.4,386.2
26,-117.77618527,36.03044301,811.1,364.5
27,-117.77617859,36.03043744,856.8,318.8
28,-117.77617516,36.03044015,870.8,304.8
29,-117.77616849,36.03043459,914.1,261.5
30,-117.77616870,36.03042086,971.7,203.9
31,-117.77615201,36.03040695,1023.2,152.4
32,-117.77613866,36.03039582,1055.2,120.4
33,-117.77613870,36.03039307,1059.2,116.4
34,-117.77612535,36.03038195,1098.2,77.4
35,-117.77611546,36.03036536,1167.1,8.5
36,-117.77611888,36.03036265,1175.6,0.0
37,-117.77612903,36.03036276,1202.7,-27.1
38,-117.77614594,36.03036293,1237.2,-61.6
39,-117.77615621,36.03035480,1265.2,-89.6
40,-117.77615625,36.03035205,1272.8,-97.2
41,-117.77615972,36.03034659,1292.0,-116.4
42,-117.77616315,36.03034388,1311.6,-135.9
43,-117.77616649,36.03034666,1331.4,-155.8
44,-117.77617321,36.03034948,1350.9,-175.3
45,-117.77617980,36.03036053,1370.1,-194.5
46,-117.77618296,36.03037430,1389.6,-214.0
47,-117.77617915,36.03040173,1417.0,-241.4
48,-117.77617560,36.03041269,1428.0,-252.4
49,-117.77617204,36.03042364,1437.7,-262.1
50,-117.77616827,36.03044832,1456.6,-281.0
51,-117.77616095,36.03048396,1478.3,-302.7
52,-117.77615748,36.03048942,1480.4,-304.8
53,-117.77614647,36.03054425,1511.2,-335.6
54,-117.77612481,36.03063194,1559.4,-383.7
55,-117.77610661,36.03071416,1607.2,-431.6
56,-117.77609933,36.03074706,1626.4,-450.8
57,-117.77608828,36.03080463,1661.5,-485.9
58,-117.77608442,36.03083481,1680.7,-505.1
59,-117.77607714,36.03086770,1699.0,-523.3
60,-117.77606982,36.03090334,1720.0,-544.4
61,-117.77606613,36.03092253,1729.7,-554.1
62,-117.77605885,36.03095542,1748.3,-572.7
63,-117.77605183,36.03097183,1758.1,-582.5
64,-117.77604485,36.03098550,1767.8,-592.2
65,-117.77603783,36.03100191,1777.6,-602.0
66,-117.77603428,36.03101286,1785.2,-609.6
67,-117.77603085,36.03101557,1787.0,-611.4
68,-117.77602392,36.03102649,1795.0,-619.4
69,-117.77598928,36.03107833,1833.1,-657.5
70,-117.77597194,36.03110562,1853.2,-677.6
71,-117.77595460,36.03113291,1872.1,-696.5
72,-117.77592690,36.03117383,1901.0,-725.4
73,-117.77589227,36.03122567,1938.5,-762.9
74,-117.77586795,36.03126663,1965.0,-789.4
75,-117.77584719,36.03129663,1985.8,-810.2
76,-117.77580562,36.03135939,2023.6,-848.0
77,-117.77576405,36.03142214,2062.0,-886.4
78,-117.77573288,36.03146852,2090.0,-914.4
79,-117.77571207,36.03150127,2109.2,-933.6
80,-117.77567392,36.03156131,2145.5,-969.9
81,-117.77562893,36.03162678,2183.6,-1008.0
82,-117.77558055,36.03169221,2221.4,-1045.8
83,-117.77555979,36.03172222,2238.1,-1062.5
84,-117.77554943,36.03173585,2245.5,-1069.8
85,-117.77551822,36.03178497,2270.5,-1094.8
86,-117.77548358,36.03183681,2297.0,-1121.4
87,-117.77543850,36.03190777,2334.2,-1158.5
88,-117.77539329,36.03198697,2372.3,-1196.6
89,-117.77536554,36.03203064,2394.8,-1219.2
90,-117.77521621,36.03227909,2517.6,-1342.0
91,-117.77501207,36.03257092,2660.3,-1484.7
92,-117.77495325,36.03265547,2699.6,-1524.0
93,-117.77479428,36.03287086,2801.7,-1626.1
94,-117.77464914,36.03306715,2894.4,-1718.8
