"API","section","township_num","township_base","range_num","range_base","base_meridian","user_id","date_modified"
"01190001",29,14,"N",5,"W","MD","dbo           ","2007-02-08 16:25:33"
"01190002",29,14,"N",5,"W","MD","dbo           ","2001-07-17 18:26:27"
"01190003",29,14,"N",5,"W","MD","dbo           ","2001-07-17 18:26:27"
"02590001",33,16,"S",14,"E","SB","dbo           ","2008-07-08 14:55:25"
"02590002",33,16,"S",14,"E","SB","dbo           ","2004-05-13 16:34:10"
"02590003",30,12,"S",13,"E","SB","Jefs_Sys      ","2002-08-26 16:46:19"
"02590004",35,15,"S",16,"E","SB","Jefs_Sys      ","2002-08-26 16:46:34"
"02590005",34,16,"S",16,"E","SB","Jefs_Sys      ","2002-08-26 16:46:45"
"02590006",32,16,"S",14,"E","SB","dbo           ","2008-07-08 14:54:59"
"02590007",31,16,"S",14,"E","SB","dbo           ","2008-07-08 14:51:07"
"02590008",22,15,"S",14,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590009",8,17,"S",13,"E","SB","Jefs_Sys      ","2002-08-26 16:47:02"
"02590010",33,11,"S",13,"E","SB","dbo           ","2004-11-22 18:45:08"
"02590011",33,11,"S",13,"E","SB","Jefs_Sys      ","2001-08-23 09:02:02"
"02590012",33,11,"S",13,"E","SB","Jefs_Sys      ","2001-08-23 09:02:15"
"02590013",33,11,"S",13,"E","SB","dbo           ","2005-05-19 13:49:37"
"02590014",33,11,"S",13,"E","SB","dbo           ","2004-11-22 18:45:42"
"02590015",10,12,"S",13,"E","SB","dbo           ","2004-11-22 18:51:00"
"02590016",4,12,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590017",10,12,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590018",4,12,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590019",23,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590020",22,11,"S",13,"E","SB","dbo           ","2004-11-22 18:54:08"
"02590021",23,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590022",23,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590023",23,11,"S",13,"E","SB","dbo           ","2004-11-22 18:52:16"
"02590024",10,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590025",10,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590026",10,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590027",27,11,"S",13,"E","SB","dbo           ","2004-11-22 18:46:00"
"02590028",13,11,"S",13,"E","SB","dbo           ","2004-11-22 18:46:08"
"02590029",24,11,"S",13,"E","SB","dbo           ","2004-11-22 18:46:17"
"02590030",19,12,"S",13,"E","SB","Jefs_Sys      ","2001-08-22 09:04:11"
"02590031",33,15,"S",19,"E","SB","dbo           ","2007-02-09 12:39:29"
"02590032",6,16,"S",17,"E","SB","dbo           ","2002-09-13 15:02:43"
"02590033",28,11,"S",13,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590034",6,16,"S",17,"E","SB","dbo           ","2004-09-29 14:46:14"
"02590035",1,9,"S",12,"E","SB","dbo           ","2005-04-28 09:53:48"
"02590036",27,11,"S",13,"E","SB","dbo           ","2004-11-22 18:48:55"
"02590037",29,16,"S",14,"E","SB","dbo           ","2008-07-08 14:50:24"
"02590038",32,16,"S",14,"E","SB","dbo           ","2008-07-08 14:49:50"
"02590039",33,16,"S",14,"E","SB","dbo           ","2008-07-08 14:48:55"
"02590040",5,16,"S",17,"E","SB","dbo           ","2002-09-13 15:03:22"
"02590041",8,16,"S",17,"E","SB","dbo           ","2003-10-03 13:46:17"
"02590042",31,15,"S",17,"E","SB","dbo           ","2002-09-13 15:03:45"
"02590043",15,13,"S",14,"E","SB","Jefs_Sys      ","2002-07-01 16:40:45"
"02590044",32,16,"S",15,"E","SB","dbo           ","2004-05-13 15:05:28"
"02590045",33,16,"S",15,"E","SB","dbo           ","2006-05-16 20:56:40"
"02590046",33,16,"S",15,"E","SB","dbo           ","2004-05-13 15:05:36"
"02590047",27,16,"S",14,"E","SB","dbo           ","2008-07-08 14:47:39"
"02590048",27,16,"S",14,"E","SB","dbo           ","2008-07-08 14:47:05"
"02590049",34,16,"S",14,"E","SB","dbo           ","2008-07-08 14:46:35"
"02590050",13,9,"S",12,"E","SB","dbo           ","2004-05-13 15:05:46"
"02590051",21,13,"S",14,"E","SB","Jefs_Sys      ","2002-07-01 16:41:08"
"02590052",16,13,"S",14,"E","SB","Jefs_Sys      ","2002-07-01 16:42:02"
"02590053",9,13,"S",14,"E","SB","dbo           ","2004-05-13 14:07:09"
"02590054",31,16,"S",14,"E","SB","dbo           ","2004-05-13 14:08:32"
"02590055",22,13,"S",14,"E","SB","dbo           ","2004-05-13 14:13:13"
"02590056",6,17,"S",14,"E","SB","dbo           ","2004-05-13 14:16:45"
"02590057",27,16,"S",14,"E","SB","dbo           ","2004-05-13 14:18:14"
"02590058",22,13,"S",14,"E","SB","dbo           ","2004-05-13 14:23:05"
"02590059",5,17,"S",14,"E","SB","dbo           ","2004-05-13 14:24:54"
"02590060",17,13,"S",14,"E","SB","Jefs_Sys      ","2002-07-01 16:42:30"
"02590061",34,16,"S",14,"E","SB","dbo           ","2004-05-13 14:34:34"
"02590062",21,13,"S",14,"E","SB","dbo           ","2004-05-13 14:38:59"
"02590063",9,13,"S",14,"E","SB","dbo           ","2004-05-13 14:40:31"
"02590064",20,16,"S",14,"E","SB","dbo           ","2004-05-13 14:43:12"
"02590065",21,16,"S",14,"E","SB","dbo           ","2004-05-13 14:44:59"
"02590066",20,13,"S",14,"E","SB","dbo           ","2004-05-13 14:46:15"
"02590067",34,16,"S",14,"E","SB","dbo           ","2008-07-08 14:44:34"
"02590068",4,17,"S",14,"E","SB","dbo           ","2008-07-08 14:56:28"
"02590069",3,17,"S",14,"E","SB","dbo           ","2008-07-08 14:57:08"
"02590070",9,13,"S",14,"E","SB","dbo           ","2004-05-13 14:48:41"
"02590071",16,13,"S",14,"E","SB","dbo           ","2004-05-13 14:49:50"
"02590072",16,13,"S",14,"E","SB","dbo           ","2004-05-13 14:51:51"
"02590073",10,13,"S",14,"E","SB","dbo           ","2004-05-13 14:54:21"
"02590074",20,13,"S",14,"E","SB","dbo           ","2004-05-13 15:00:33"
"02590075",20,13,"S",14,"E","SB","dbo           ","2004-05-13 15:01:31"
"02590076",30,15,"S",17,"E","SB","dbo           ","2002-09-13 15:03:56"
"02590077",15,13,"S",14,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590078",29,15,"S",17,"E","SB","dbo           ","2002-09-13 15:04:14"
"02590079",15,13,"S",14,"E","SB","dbo           ","2001-07-17 18:26:27"
"02590080",28,15,"S",17,"E","SB","dbo           ","2002-09-13 15:04:28"
"02590081",20,12,"S",13,"E","SB","dbo           ","2004-05-13 15:04:52"
"02590082",20,12,"S",13,"E","SB","Jefs_Sys      ","2002-07-01 17:04:27"
