"API","district","yr_drilled","number","status","type","depth","pool","mineral_rights","lease","confidential","county_API_code","opcode","user_id","date_modified"
"01190001",1,1968,"1     ","ABDN","EWT"," ","     ","F","Wilbur Hot Sprng","N","011","CORD ","dbo           ","2007-02-08 16:25:33"
"01190002",1,1965,"1     ","ABDN","EWT","D",,"P","Wilbur Hot Sprgs","N","011","MAGPO","dbo           ","2001-07-17 18:26:26"
"01190003",1,1980,"1     ","ABDN","NLT",,,"P","Suned/Bailey Min","N","011","SUNED","dbo           ","2001-07-17 18:26:26"
"02590001",2,1972,"1     ","ACTV","OBS","D","HEBER","P","Nowlin Partnersh","N","025","HFC  ","dbo           ","2008-07-08 14:55:25"
"02590002",2,,"2     ","CANC","OBS","D","HEBER","P","Nowlin Partnersh","N","025","CHEVU","dbo           ","2004-05-13 16:34:10"
"02590003",2,1972,"1     ","ABDN","EWT","D","     ","P","Dearborn        ","N","025","MAGPO","Jefs_Sys      ","2002-08-26 16:46:19"
"02590004",2,1971,"1     ","ABDN","EWT","D","     ","P","Sharp           ","N","025","MAGPO","Jefs_Sys      ","2002-08-26 16:46:34"
"02590005",2,1973,"2     ","ABDN","EWT","D","     ","P","Sharp           ","N","025","MAGPO","Jefs_Sys      ","2002-08-26 16:46:45"
"02590006",2,1972,"1     ","ACTV","OBS","D","HEBER","P","Holtz           ","N","025","HFC  ","dbo           ","2008-07-08 14:54:59"
"02590007",2,1972,"170   ","ACTV","INJ","D","HEBER","P","HGU             ","N","025","HFC  ","dbo           ","2008-07-08 14:51:07"
"02590008",2,1973,"1     ","ABDN","EWT","D",,"P","Bonanza         ","N","025","MAGPO","dbo           ","2001-07-17 18:26:26"
"02590009",2,1973,"1     ","ABDN","EWT","D","     ","P","Fed-rite        ","N","025","MAGPO","Jefs_Sys      ","2002-08-26 16:47:02"
"02590010",2,1972,"1     ","ABDN","EWT","D","SNSEA","P","Magmamax        ","N","025","CALOC","dbo           ","2004-11-22 18:45:08"
"02590011",2,1972,"2     ","ABDN","OBS","D","SNSEA","P","Magmamax        ","N","025","CALOC","Jefs_Sys      ","2001-08-23 09:02:02"
"02590012",2,1972,"3     ","ABDN","OBS","D","SNSEA","P","Magmamax        ","N","025","CALOC","Jefs_Sys      ","2001-08-23 09:02:15"
"02590013",2,1972,"4     ","ABDN","OBS","D","SNSEA","P","Magmamax        ","N","025","CALOC","dbo           ","2005-05-19 13:49:37"
"02590014",2,1972,"1     ","ABDN","DWT","D","SNSEA","P","Woolsey         ","N","025","CALOC","dbo           ","2004-11-22 18:45:42"
"02590015",2,1958,"1     ","ABDN","EWT","D","SNSEA","P","Sinclair        ","N","025","GEMC ","dbo           ","2004-11-22 18:50:59"
"02590016",2,1965,"2     ","ABDN","DWT","D","SNSEA","P","Sinclair        ","N","025","GEMC ","dbo           ","2001-07-17 18:26:26"
"02590017",2,1963,"3     ","ABDN","DWT","D","SNSEA","P","Sinclair        ","N","025","GEMC ","dbo           ","2001-07-17 18:26:26"
"02590018",2,1964,"4     ","ABDN","DWT","D","SNSEA","P","Sinclair        ","N","025","GEMC ","dbo           ","2001-07-17 18:26:26"
"02590019",2,1962,"1     ","ABDN","DWT","D","SNSEA","P","IID             ","N","025","IMPTP","dbo           ","2001-07-17 18:26:26"
"02590020",2,1963,"2     ","ABDN","DWT","D","SNSEA","P","IID             ","N","025","IMPTP","dbo           ","2004-11-22 18:54:08"
"02590021",2,1965,"3     ","ABDN","INJ","D","SNSEA","P","IID             ","N","025","IMPTP","dbo           ","2001-07-17 18:26:26"
"02590022",2,1964,"1     ","ABDN","DWT","D","SNSEA","S","State of Calif. ","N","025","IMPTP","dbo           ","2001-07-17 18:26:26"
"02590023",2,1961,"1     ","ABDN","EWT","D","SNSEA","P","Sportsman       ","N","025","IMPTP","dbo           ","2004-11-22 18:52:16"
"02590024",2,1927,"1     ","ABDN","EWT","I","SNSEA","P",,"N","025","PIONR","dbo           ","2001-07-17 18:26:26"
"02590025",2,1927,"2     ","ABDN","EWT","D","SNSEA","P",,"N","025","PIONR","dbo           ","2001-07-17 18:26:26"
"02590026",2,1927,"3     ","ABDN","EWT","D","SNSEA","P",,"N","025","PIONR","dbo           ","2001-07-17 18:26:26"
"02590027",2,1964,"1     ","ABDN","EWT","D","SNSEA","P","J.J. Elmore     ","N","025","CALOC","dbo           ","2004-11-22 18:46:00"
"02590028",2,1964,"1     ","ABDN","EWT","D","SNSEA","P","Hudson          ","N","025","CALOC","dbo           ","2004-11-22 18:46:08"
"02590029",2,1964,"1     ","ABDN","EWT","D","SNSEA","P","River Ranch     ","N","025","CALOC","dbo           ","2004-11-22 18:46:17"
"02590030",2,1963,"1     ","ABDN","EWT","D","     ","P","Grace           ","N","025","VANHG","Jefs_Sys      ","2001-08-22 09:04:11"
"02590031",2,1972,"1     ","IDLE","EWT","D","     ","F","                ","N","025","DWR  ","dbo           ","2007-02-09 12:39:29"
"02590032",2,1972,"6-1   ","ACTV","INJ","D","EMESA","F","Mesa            ","Y","025","ORMSA","dbo           ","2002-09-13 15:02:43"
"02590033",2,1932,"1     ","ABDN","EWT","D","SNSEA","P",,"N","025","SSCPC","dbo           ","2001-07-17 18:26:26"
"02590034",2,1973,"6-2   ","IDLE","EWT","D","EMESA","F","Mesa            ","Y","025","ORMSA","dbo           ","2004-09-29 14:46:14"
"02590035",2,1980,"1     ","ACTV","CLT","D","HMSPA","P","                ","N","025","BASHF","dbo           ","2005-04-28 09:53:48"
"02590036",2,1974,"3     ","ABDN","OBS","D","SNSEA","P","Elmore          ","N","025","CALOC","dbo           ","2004-11-22 18:48:55"
"02590037",2,1974,"1     ","ACTV","OBS","D","HEBER","P","Hulse           ","N","025","HFC  ","dbo           ","2008-07-08 14:50:24"
